"Date","Price","Open","High","Low","Vol.","Change %"
"05/13/2024","168.51","167.75","168.77","167.55","","0.49%"
"05/10/2024","167.69","167.63","168.00","167.40","","0.05%"
"05/09/2024","167.60","167.11","167.79","166.73","","0.31%"
"05/08/2024","167.08","166.38","167.37","166.23","","0.44%"
"05/07/2024","166.34","165.75","166.59","165.63","","0.39%"
"05/06/2024","165.70","164.66","166.01","164.47","","0.68%"
"05/03/2024","164.58","164.82","165.33","164.01","","-0.12%"
"05/02/2024","164.77","165.47","167.40","164.21","","-0.40%"
"05/01/2024","165.44","168.32","168.67","164.25","","-1.69%"
"04/30/2024","168.28","167.63","168.74","167.32","","0.42%"
"04/29/2024","167.57","169.35","171.47","165.65","","-1.01%"
"04/26/2024","169.28","167.05","169.41","166.47","","1.37%"
"04/25/2024","167.00","166.20","167.10","165.94","","0.50%"
"04/24/2024","166.17","165.69","166.25","165.35","","0.31%"
"04/23/2024","165.65","164.99","165.77","164.61","","0.43%"
"04/22/2024","164.94","164.77","165.13","164.38","","0.12%"
"04/19/2024","164.74","164.61","165.04","163.00","","0.10%"
"04/18/2024","164.57","164.77","164.98","164.34","","-0.10%"
"04/17/2024","164.74","164.30","164.84","163.92","","0.29%"
"04/16/2024","164.26","163.91","164.71","163.67","","0.25%"
"04/15/2024","163.85","162.94","164.47","162.70","","0.45%"
"04/12/2024","163.12","164.41","164.46","162.26","","-0.76%"
"04/11/2024","164.37","164.57","164.73","163.94","","-0.07%"
"04/10/2024","164.48","164.80","165.02","163.89","","-0.16%"
"04/09/2024","164.75","164.86","165.21","164.54","","-0.04%"
"04/08/2024","164.81","164.26","164.93","164.18","","0.33%"
"04/05/2024","164.27","164.02","164.46","163.47","","0.18%"
"04/04/2024","163.97","164.33","164.95","163.78","","-0.23%"
"04/03/2024","164.35","163.23","164.41","163.06","","0.71%"
"04/02/2024","163.19","162.92","163.37","162.60","","0.17%"
"04/01/2024","162.91","163.31","163.46","162.78","","-0.25%"
"03/29/2024","163.32","163.34","163.50","162.95","","0.02%"
"03/28/2024","163.28","163.85","163.94","163.17","","-0.33%"
"03/27/2024","163.82","164.17","164.53","163.53","","-0.19%"
"03/26/2024","164.13","164.10","164.43","163.95","","0.04%"
"03/25/2024","164.07","163.73","164.23","163.30","","0.28%"
"03/22/2024","163.61","164.66","164.84","163.47","","-0.63%"
"03/21/2024","164.65","165.18","165.37","164.33","","-0.31%"
"03/20/2024","165.17","163.95","165.43","163.81","","0.77%"
"03/19/2024","163.90","162.18","164.04","162.01","","1.09%"
"03/18/2024","162.14","162.34","162.74","161.93","","-0.06%"
"03/15/2024","162.24","161.45","162.44","161.05","","0.53%"
"03/14/2024","161.39","161.76","161.94","161.10","","-0.19%"
"03/13/2024","161.70","161.37","161.98","160.89","","0.25%"
"03/12/2024","161.30","160.56","161.60","160.26","","0.47%"
"03/11/2024","160.55","160.88","160.97","160.20","","-0.19%"
"03/08/2024","160.85","162.08","162.20","160.60","","-0.73%"
"03/07/2024","162.03","162.79","162.85","160.53","","-0.45%"
"03/06/2024","162.77","162.94","163.01","162.20","","-0.06%"
"03/05/2024","162.87","163.41","163.48","162.59","","-0.30%"
"03/04/2024","163.36","162.76","163.57","162.52","","0.42%"
"03/01/2024","162.67","162.05","163.07","161.99","","0.40%"
"02/29/2024","162.02","163.32","163.34","161.68","","-0.78%"
"02/28/2024","163.29","163.22","163.43","162.74","","0.06%"
"02/27/2024","163.20","163.53","163.55","162.88","","-0.18%"
"02/26/2024","163.49","162.82","163.75","162.55","","0.42%"
"02/23/2024","162.81","162.93","163.23","162.67","","-0.06%"
"02/22/2024","162.90","162.62","163.49","162.55","","0.21%"
"02/21/2024","162.56","162.11","162.63","161.91","","0.33%"
"02/20/2024","162.03","161.82","162.40","161.72","","0.16%"
"02/19/2024","161.77","161.89","161.96","161.46","","-0.04%"
"02/16/2024","161.84","161.51","161.98","161.43","","0.23%"
"02/15/2024","161.47","161.54","161.68","160.90","","-0.02%"
"02/14/2024","161.51","161.51","161.61","160.94","","0.04%"
"02/13/2024","161.45","160.86","161.78","160.75","","0.39%"
"02/12/2024","160.83","160.95","161.13","160.36","","-0.09%"
"02/09/2024","160.98","160.95","161.32","160.75","","0.05%"
"02/08/2024","160.90","159.64","161.05","159.45","","0.81%"
"02/07/2024","159.60","159.11","159.77","158.91","","0.32%"
"02/06/2024","159.09","159.73","159.92","158.95","","-0.38%"
"02/05/2024","159.69","160.01","160.29","159.29","","-0.19%"
"02/02/2024","160.00","159.20","160.29","159.03","","0.53%"
"02/01/2024","159.15","158.92","159.23","158.07","","0.18%"
"01/31/2024","158.87","160.08","160.38","158.48","","-0.74%"
"01/30/2024","160.06","159.82","160.37","159.19","","0.18%"
"01/29/2024","159.78","160.74","160.86","159.39","","-0.62%"
"01/26/2024","160.78","160.10","160.96","159.81","","0.40%"
"01/25/2024","160.14","160.56","161.01","159.68","","-0.25%"
"01/24/2024","160.54","160.95","161.10","159.96","","-0.24%"
"01/23/2024","160.93","161.19","161.74","160.42","","-0.14%"
"01/22/2024","161.15","161.39","161.60","160.73","","-0.17%"
"01/19/2024","161.43","161.14","161.90","160.80","","0.20%"
"01/18/2024","161.10","161.24","161.41","160.63","","-0.06%"
"01/17/2024","161.20","160.10","161.32","159.97","","0.72%"
"01/16/2024","160.04","159.61","160.17","159.24","","0.31%"
"01/15/2024","159.55","158.75","159.87","158.57","","0.57%"
"01/12/2024","158.65","159.41","159.59","158.50","","-0.45%"
"01/11/2024","159.37","159.93","160.22","159.24","","-0.34%"
"01/10/2024","159.91","157.94","159.97","157.76","","1.28%"
"01/09/2024","157.89","157.95","158.09","157.17","","0.01%"
"01/08/2024","157.88","158.35","158.51","157.67","","-0.23%"
"01/05/2024","158.24","158.30","159.18","158.03","","-0.01%"
"01/04/2024","158.26","156.50","158.62","156.06","","1.13%"
"01/03/2024","156.49","155.46","156.82","155.29","","0.75%"
"01/02/2024","155.33","155.61","156.36","155.05","","-0.16%"
"01/01/2024","155.58","155.80","155.84","155.56","","-0.06%"
"12/29/2023","155.67","156.41","156.94","155.60","","-0.44%"
"12/28/2023","156.36","157.51","157.55","155.81","","-0.70%"
"12/27/2023","157.47","157.25","158.41","157.13","","0.16%"
"12/26/2023","157.22","156.74","157.39","156.56","","0.35%"
"12/25/2023","156.67","156.91","157.07","156.35","","-0.08%"
"12/22/2023","156.79","156.46","157.07","156.19","","0.24%"
"12/21/2023","156.42","157.08","157.16","156.14","","-0.39%"
"12/20/2023","157.03","157.94","158.14","156.76","","-0.56%"
"12/19/2023","157.91","155.95","158.60","155.37","","1.29%"
"12/18/2023","155.90","154.88","156.35","154.81","","0.67%"
"12/15/2023","154.86","155.98","156.51","154.40","","-0.69%"
"12/14/2023","155.93","155.38","156.10","153.85","","0.37%"
"12/13/2023","155.35","157.00","157.51","155.36","","-1.03%"
"12/12/2023","156.97","157.35","157.37","156.48","","-0.20%"
"12/11/2023","157.29","155.91","157.71","155.85","","0.85%"
